MSIC_5D,DESCRIPTION
N81294,Aktiviti perkhidmatan sistem keselamatan(2)
N81295,Aktiviti detektif dan penyiasatan(1)
N81296,Aktiviti sokongan gabungan pelbagai kemudahan(2)
N81297,Pembersihan am bangunan 
N81299,Pembersihan semua jenis bangunan
N77309,Perkhidmatan pembersihan dan penyelenggaraan kolam renang
N77101,Pembersihan mesin perindustrian
N77102,"Pembersihan keretapi, bas dan kapal terbang"
N77211,Perkhidmatan pembersihan kawalan haiwan perosak yang tiada kaitan dengan pertanian
N77212,Aktiviti disinfeksi dan penghapusan
N77213,Pembersihan kapal tangki
N77219,Aktiviti pembersihan bangunan dan perindustrian t.t.t.l.(3)
N77220,Aktiviti perkhidmatan penjagaan dan penyelenggaraan landskap(2)
N77291,Gabungan aktiviti perkhidmatan pengurusan pejabat(2)
N77292,"Penyediaan dokumen, penyuntingan dan/atau membaca pruf"
N77294,"Menaip, word processing atau desktop publishing(2)"
N77295,Perkhidmatan sokongan kesetiausahaan
N77296,Transkripsi dokumen dan perkhidmatan kesetiausahaan lain
N77299,Penyediaan penyewaan peti surat dan perkhidmatan mel lain 
N77302,"Fotokopi, pendua, bluprint(3)"
N77303,"Aktiviti fotokopi, penyediaan dokumen dan lain-lain aktiviti sokongan pejabat khusus t.t.t.l."
N77304,Aktiviti pusat panggilan(1) 
N77305,"Mengurus, mempromosi dan/atau mengendali acara(1)"
N77306,"Mesyuarat , insentif, konvensyen, pameran (MICE)"
N77307,Aktiviti agensi kutipan dan biro kredit(1)
N77400,Aktiviti pembungkusan berdasarkan kontrak atau yuran sama ada melibatkan proses automatik atau tidak
N78100,Aktiviti perkhidmatan sokongan perniagaan t.t.t.l.
O84111,Aktiviti perkhidmatan awam am (keseluruhan)
O84121,Aktiviti perkhidmatan sampingan untuk kerajaan secara keseluruhannya
O84122,Perkhidmatan pentadbiran pendidikan
O84123,Perkhidmatan pentadbiran penjagaan kesihatan
O84125,Perkhidmatan pentadbiran perumahan dan kerajaan tempatan
O84126,"Perkhidmatan pentadbiran rekreasi, kebudayaan, kesenian dan sukan"
O84129,Perkhidmatan pentadbiran hal ehwal agama
O84131,Perkhidmatan pentadbiran kebajikan
O84133,Perkhidmatan hal ehwal komuniti dan sosial lain(2)
O84134,Hal ehwal perdagangan domestik dan antarabangsa
O84135,Hal ehwal pertanian dan pembangunan luar bandar
O84136,Hal ehwal perusahaan utama(2)
O84138,Hal ehwal kerja awam
O84139,Hal ehwal pengangkutan
O84231,"Hal ehwal tenaga, telekomunikasi dan pos"
O84232,Hal ehwal pelancongan
O84233,Hal ehwal sumber manusia
O84234,Peraturan dan sumbangan lain ke arah kecekapan operasi perniagaan t.t.t.l.
O84235,Hal ehwal luar negeri(1)
O84236,Perkhidmatan ketenteraan dan pertahanan awam
O84220,Perkhidmatan polis
O84239,Perkhidmatan penjara
O84300,Perkhidmatan imigresen
O84112,Perkhidmatan pendaftaran negara
O84124,Perkhidmatan badan kehakiman dan perundangan(2)
O84132,Pemadaman dan pencegahan kebakaran(1)
O84137,Perkhidmatan berkaitan hal ehwal ketenteraman dan keselamatan awam lain(2)
O84210,Aktiviti keselamatan sosial wajib cth. SOCSO
P85101,Pendidikan pra-sekolah (Awam)(2)
P85102,Pendidikan pra-sekolah (Swasta)(2)
P85103,Pendidikan rendah (Awam) 
P85104,Pendidikan rendah (Swasta)
P85211,Pendidikan menengah am (Awam)(2)
P85212,Pendidikan menengah am (Swasta)(2)
P85221,Pendidikan menengah teknik dan vokasional di bawah tahap pendidikan tinggi (Awam)(4)
P85222,Pendidikan menengah teknik dan vokasional di bawah tahap pendidikan tinggi (Swasta)(4)
P85301,Pendidikan kolej dan universiti (Awam)(2)
P85302,Pendidikan kolej dan universiti (Swasta)(3) 
P85411,Pengajaran sukan(2)
P85412,Pengajaran seni mempertahankan diri
P85421,Pendidikan sukan dan rekreasi lain yang t.t.t.l.(3)
P85429,Sekolah muzik dan tarian(4)
P85491,Pendidikan kebudayaan lain yang t.t.t.l.(5)
P85492,Pusat tuisyen
P85493,Sekolah memandu
P85499,Pengajaran agama
P85419,Latihan komputer
P85494,Pendidikan lain t.t.t.l.(2)
P85500,Perkhidmatan sokongan pendidikan untuk peruntukan kepada perkhidmatan bukan pengajaran(1)
Q86101,Aktiviti hospital
Q86102,Perkhidmatan rumah bersalin (luar hospital)
Q86201,Perkhidmatan perubatan am
Q86202,Perkhidmatan perubatan khas
Q86203,Perkhidmatan berkaitan gigi(2)
Q86901,Pusat dialisis
Q86902,Makmal perubatan(2)
Q86903,Perkhidmatan fisioterapi dan terapi pekerjaan
Q86904,Perkhidmatan akupunktur
Q87201,Perkhidmatan ahli herba dan homeopati
Q87209,Perkhidmatan ambulan
Q87300,Perkhidmatan kesihatan kemanusiaan lain t.t.t.l.(3)
Q87901,Rumah untuk orang tua dengan perawatan 
Q87902,Rumah penjagaan
Q87909,Paliatif atau hospis
Q88101,Pusat pemulihan dadah
Q88109,Aktiviti rumah penjagaan lain untuk orang terencat akal t.t.t.l.
Q88901,Aktiviti rumah penjagaan untuk orang tua dan orang kurang upaya
Q88902,Rumah anak yatim
Q86905,Perkhidmatan rumah kebajikan
Q86906,Aktiviti rumah penjagaan lain t.t.t.l.
Q86909,Aktiviti penjagaan harian untuk orang tua atau orang dewasa yang cacat 
Q87101,Aktiviti kerja sosial lain tanpa penginapan untuk orang tua dan orang kurang upaya
Q87102,Perkhidmatan kaunseling(2)
Q87103,Aktiviti penjagaan harian kanak-kanak(3)
Q88909,Aktiviti kerja sosial lain tanpa penginapan t.t.t.l.(4)
R93193,"Perkhidmatan penerbit teater, penyanyi kumpulan pancaragam dan hiburan orkestra(2)"
R93199,Operasi dewan konsert dan teater serta kemudahan kesenian lain(3)
R90001,"Aktiviti pemahat, pelukis, kartunis, pengukir, penggores"
R90002,"Aktiviti penulis perseorangan, untuk semua subjek(1)"
R90003,Aktiviti jurnalis bebas
R90005,Pembaikan hasil kesenian seperti lukisan
R90006,"Aktiviti penerbit atau pengusaha seni persembahan  secara langsung, dengan atau tanpa kemudahan"
R90007,"Aktiviti kesenian, hiburan dan kreatif t.t.t.l."
R90009,Aktiviti dokumentasi dan maklumat bagi semua jenis perpustakaan
R91012,Penyimpanan foto perpustakaan dan perkhidmatan
R91021,Operasi semua jenis muzium(3)
R91022,Operasi tapak dan bangunan bersejarah(4)
R91032,Operasi taman botani dan zoologi
R92000,"Operasi rizab semula jadi, termasuk pemeliharaan hidupan liar"
R93112,Aktiviti perjudian dan pertaruhan
R93113,"Bola sepak, hoki, kriket, besbol, badminton, futsal, paintball"
R93114,Litar perlumbaan untuk kenderaan bermotor (2)
R93115,Kelab ekuestrian
R93116,"Stadium dan kolam renang, arena luncur ais "
R93117,Padang stadium dan balapan
R93118,Padang golf
R93120,Pusat boling
R93191,Pusat kesihatan
R93192,Penganjuran dan operasi acara sukan dalam dan luar bangunan untuk profesional atau amatur oleh organisasi dengan kemudahan sukan sendiri(3)
R93210,"Operasi kelab sukan seperti kelab bola sepak, kelab boling, kelab renang"
R93291,"Aktiviti penganjur atau promosi acara sukan, dengan atau tanpa kemudahan "
R93292,Aktiviti liga sukan dan badan yang mengawal
R93293,Aktiviti berkaitan dengan promosi acara sukan
R93294,Aktiviti sukan lain t.t.t.l.(3)
R93295,Aktiviti taman hiburan dan taman tema(1)
R93296,Aktiviti taman rekreasi dan pantai(3)
R93297,Operasi kemudahan pengangkutan rekreasi(4)
R93299,Sewaan peralatan riadah sebagai kelengkapan untuk kemudahan rekreasi
R90004,Operasi pesta dan pertunjukan rekreasi semula jadi
R91011,Operasi kelab malam dan lantai tari
R91031,"Aktiviti penganjur atau pengusaha persembahan secara langsung selain daripada acara kesenian atau sukan, dengan atau tanpa kemudahan "
R93111,Kafe siber/pusat internet
R93119,Aktiviti hiburan dan rekreasi lain t.t.t.l.(1)
S95125,Aktiviti keahlian organisasi perniagaan dan majikan 
S95126,Aktiviti keahlian organisasi profesional 
S95211,Aktiviti kesatuan buruh
S95212,Aktiviti organisasi keagamaan 
S95213,Aktiviti organisasi politik
S95221,Aktiviti keahlian organisasi lain t.t.t.l.(3)
S95222,Pembaikan peralatan elektronik(2)  
S95240,Pembaikan dan penyelenggaraan terminal komputer(3
S95291,Pembaikan dan penyelenggaraan hand-held computers (PDA’s)
S95292,Pembaikan dan penyelengaraan telefon tanpa wayar
S95293,Pembaikan dan penyelenggaraan telefon selular
S95294,Pembaikan dan penyelengaraan peralatan carrier modems
S95295,Pembaikan dan penyelengaraan mesin faks 
S95299,Pembaikan dan penyelengaraan peralatan transmisi komunikasi(4
S96011,Pembaikan dan penyelenggaraan radio dua hala
S96012,Pembaikan dan penyelengaraan TV komersial dan kamera video
S96013,Pembaikan dan penyelenggaraan TV dan penerima radio
S96014,Pembaikan dan penyelenggaraan VCR/DVD/VCD
S96020,Pembaikan dan penyelenggaraan pemain CD 
S96031,Pembaikan dan penyelenggaraan kamera video bagi isi rumah
S96032,Pembaikan dan penyenggaraan kelengkapan isi rumah(2)
S96033,Pembaikan dan penyenggaraan peralatan rumah dan halaman(3)
S96034,Pembaikan kelengkapan kasut dan barangan kulit(1)
S96035,Pembaikan perabut dan kelengkapan rumah(2)
S96091,Pembaikan basikal
S96092,Pembaikan dan pemindaan pakaian
S96093,Pembaikan dan pemindaan barangan kemas
S96094,"Pembaikan jam tangan, jam dan kelengkapanya"
S96095,Pembaikan barangan sukan(4)
S96096,Pembaikan peralatan muzikal
S96099,Pembaikan barangan persendirian dan isi rumah t.t.t.l.(5)
S94110,"Pencucian dan cucian kering, menggosok"
S94120,"Mensyampo karpet dan permaidani, serta pengeringan dan cucian langsir sama ada di premis pengguna atau sebaliknya"
S94200,"Penyediaan linen, baju seragam dan perkara berkaitan dengan cucian"
S94910,Perkhidmatan pembekalan pengalas
S94920,Dandanan rambut dan penjagaan kecantikan lain
S94990,Penyediaan pengurusan mayat untuk pengebumian atau pembakaran dan perkhidmatan pengawetan mayat 
S95111,Perkhidmatan penyediaan pengebumian atau pembakaran 
S95112,Penyewaan ruang yang lengkap dalam bilik pengebumian
S95121,Penyewaan dan penjualan ruang kubur
S95122,Penyelenggaraan kubur dan makam
S95123,"Aktiviti sauna, mandian stim, salon mengurut"
S95113,Aktiviti astrologikal dan kerohanian 
S95124,"Aktiviti sosial seperti perkhidmatan pengiring, temujanji dan biro perkahwinan"
S95127,Perkhidmatan jagaan haiwan(2)
S95214,Organisasi genealogikal 
S95230,"Pengilat kasut, porter, valet memakir kereta"
S95296,Operasi konsensi bagi perkhidmatan mesin duit syiling untuk kegunaan persendirian(3)
S96097,Aktiviti perkhidmatan lain t.t.t.l.
T97000,Aktiviti isi rumah sebagai majikan bagi personel domestik(2)
T98200,Aktiviti mengeluarkan barangan yang tidak dapat dibezakan oleh isi rumah persendirian untuk kegunaan sendiri(2)
T98100,Aktiviti menyediakan perkhidmatan yang tidak dapat dibezakan oleh isi rumah persendirian untuk kegunaan sendiri(2)
U99000,Aktiviti badan dan pertubuhan luar wilayah(1)
A01131,Growing of maize
A01132,Growing of leguminous crops
A01133,Growing of oil seeds
A01134,Growing of other cereals n.e.c.  
A01135,Growing of paddy 
A01136,Growing of leafy or stem vegetables 
A01137,Growing of fruits bearing vegetables
A01138,Growing of melons
A01140,Growing of mushrooms and truffles
A01150,"Growing of vegetables seeds, except beet seeds"
A01160,Growing of other vegetables
A01191,Growing of sugar beet
A01192,"Growing of roots, tubers, bulb or tuberous vegetables"
A01193,Growing of sugar cane
A01111,Growing of tobacco 
A01112,Growing of fibre crops 
A01113,Growing of flowers
A01119,Growing of flower seeds
A01120,Growing of sago (rumbia)
A01199,Growing of other non-perennial crops n.e.c.
A01210,Growing of grapes
A01221,Growing of banana
A01222,Growing of mango
A01223,Growing of durian
A01224,Growing of rambutan
A01225,Growing of star fruit
A01226,Growing of papaya
A01227,Growing of pineapple
A01228,Growing of pitaya (dragon fruit)
A01229,Growing of other tropical and subtropical fruits n.e.c.
A01231,Growing of pomelo
A01233,Growing of lemon and limes
A01239,Growing of tangerines and mandarin
A01241,Growing of other citrus fruits n.e.c.
A01251,Growing of guava
A01252,Growing of other pome fruits and stones fruits n.e.c.
A01253,Growing of berries
A01259,Growing of fruit seeds
A01262,Growing of edible nuts
A01263,Growing of other tree and bush fruits
A01271,Growing of oil palm (estate)
A01272,Growing of oil palm (smallholdings)
A01273,Growing of coconut (estate and smallholdings)
A01279,Growing of other oleaginous fruits n.e.c.
A01281,Growing of coffee
A01283,Growing of tea
A01284,Growing of cocoa
A01289,Growing of other beverage crops n.e.c.
A01291,Growing of pepper (piper nigrum)
A01292,Growing of chilies and pepper (capsicum spp.)
A01293,Growing of nutmeg
A01295,Growing of ginger
A01296,"Growing of plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes"
A01249,Growing of other spices and aromatic crops n.e.c.
A01261,Growing  of rubber trees (estate)
A01269,Growing of rubber trees (smallholdings)
A01282,Growing of trees for extraction of sap
A01285,Growing of nipa palm
A01464,Growing of areca
A01491,Growing of roselle
A01495,Growing of other perennial crops n.e.c.
A01232,Growing of plants for planting
A01500,Growing of plants for ornamental purposes
A01620,"Growing of live plants for bulbs, tubers and roots; cuttings and slips; mushroom spawn"
A01701,Operation of tree nurseries
A02101,"Raising, breeding and production of cattle or buffaloes"
A03115,Production of raw milk from cows or buffaloes 
A03212,Production of bovine semen
A03216,"Raising and breeding of horses, asses, mules or hinnes"
A03223,Raising and breeding of camels (dromedary) and camelids
A01299,"Raising, breeding and production of sheep and goats"
A01301,Production of raw sheep or goat’s milk
A01302,Production of raw wool
A01303,"Raising, breeding and production of swine/pigs"
A01304,"Raising, breeding and production of chicken, broiler"
A01411,"Raising, breeding and production of ducks"
A01412,"Raising, breeding and production of geese"
A01413,"Raising, breeding and production of quails"
A01420,Raising and breeding of other poultry n.e.c.
A01430,Production of chicken eggs
A01441,Production of duck eggs
A01442,Production of other poultry eggs n.e.c.
A01443,Operation of poultry hatcheries
A01450,"Raising, breeding and production of semi-domesticated"
A01461,"Production of fur skins, reptile or bird’s skin from ranching operation"
A01294,"Operation of worm farms, land mollusc farms, snail farms"
A01462,Raising of silk worms and production of silk worm cocoons
A01463,Bee keeping and production of honey and beeswax
A01465,Raising and breeding of pet animals
A01466,Raising and breeding of swiflet
A01467,Raising of diverse/other animals n.e.c.
A01468,Mixed farming
A01469,Agricultural activities for crops production on a fee or contract basis
A01492,Agricultural activities for animal production on a fee or contract basis
A01493,Preparation of crops for primary markets
A01494,Preparation of tobacco leaves
A01496,Preparation of cocoa beans
A01497,Sun-drying of fruits and vegetables
A01499,Seed processing for propagation
A01610,Hunting and trapping on a commercial basis
A01631,Taking of animals (dead or alive)
A01632,"Planting, replanting, transplanting, thinning and conserving of forests and timber tracts"
A01633,"Growing of coppice, pulpwood and fire wood"
A01634,Operation of forest tree nurseries
A01640,Collection and raising of wildings (peat swamp forest tree species)
A01702,Forest plantation
A02102,Production of round wood for forest-based manufacturing industries
A02103,Production of round wood used in an unprocessed form
A02104,Production of charcoal in the forest (using traditional methods)
A02105,Rubber wood logging
A02201,"Collection of rattan, bamboo"
A02301,Bird’s nest collection
A02302,Wild sago palm collection
A02303,Gathering of non-wood forest products n.e.c.
A02309,Carrying out part of the forestry and forest plantation operation on a fee or contract basis for forestry service activities
A02401,Carrying out part of the forestry operation on a fee or contract basis for logging service activities
A02402,Fishing on a commercial basis in ocean and coastal waters
A03111,Collection of marine crustaceans and molluscs
A03112,"Taking of aquatic animals: sea squirts, tunicates, sea urchins"
A03113,Activities of vessels engaged both in fishing and in processing and preserving of fish
A03114,"Gathering of other marine organisms and materials (natural pearls, sponges, coral and algae)"
A03119,Marine fishing n.e.c.
A03121,Fishing on a commercial basis in inland waters
A03122,Taking of freshwater crustaceans and molluscs
A03123,Taking of freshwater aquatic animals
A03124,Gathering of freshwater flora and fauna
A02202,Freshwater fishing n.e.c.
A02203,Fish farming in sea water
A02204,"Production of bivalve spat (oyster, mussel), lobster lings, shrimp post-larvae, fish fry and fingerlings"
A03129,Growing of laver and other edible seaweeds
A03211,"Culture of crustaceans, bivalves, other molluscs and other aquatic animals in sea water"
A03213,Aquaculture activities in brackish water
A03214,Aquaculture activities in salt water filled tanks or reservoirs
A03215,Operation of  hatcheries (marine)
A03217,Operation of marine worm farms for fish feed
A03218,Marine aquaculture n.e.c.
A03219,Fish farming in freshwater
A03221,Shrimp farming in freshwater
A03222,"Culture of freshwater crustaceans, bivalves, other molluscs and other aquatic animals"
A03224,Operation of hatcheries (freshwater)
A03225,Farming of frogs
A03229,Freshwater aquaculture n.e.c.
B06102,Mining of hard coal
B06201,Mining of lignite (brown coal)
B06205,Extraction of crude petroleum oils
B08915,Extraction of bituminous or oil shale and tar sand
B08917,Production of crude petroleum from bituminous shale and sand
B08933,Processes to obtain crude oils
B08993,Production of crude gaseous hydrocarbon (natural gas)
B08999,Extraction of condensates
B05100,Draining and separation of liquid hydrocarbon fractions
B05200,Gas desulphurization
B06101,"Mining of hydrocarbon liquids, obtain through liquefaction or pyrolysis"
B06103,Mining of ores valued chiefly for iron content
B06104,Beneficiation and agglomeration of iron ores
B06202,Mining of uranium and thorium ores
B06203,Mining of tin ores 
B06204,Mining of copper
B07101,Mining of bauxite (aluminium)
B07299,Mining of ilmenite
B08101,Mining of gold
B08102,Mining of silver
B08103,Mining of platinum
B08104,Amang retreatment
B08105,Mining of other non-ferrous metal ores n.e.c. 
B08106,"Quarrying, rough trimming and sawing of monumental and building stone such as marble, granite (dimension stone), sandstone"
B08107,"Quarrying, crushing and breaking of limestone"
B08108,Mining of gypsum and anhydrite
B08109,Mining of chalk and uncalcined dolomite
B08911,"Extraction and dredging of industrial sand, sand for construction and gravel"
B08912,Breaking and crushing of stone and gravel
B08913,Quarrying of sand
B08914,"Mining of clays, refractory clays and kaolin"
B07102,"Quarrying, crushing and breaking of granite"
B07210,Mining of natural phosphates
B07291,Mining of natural potassium salts
B07292,Mining of native sulphur
B07293,"Extraction and preparation of pyrites and pyrrhotite, except roasting"
B07294,Mining of natural barium sulphate and carbonate (barytes and witherite)
B07295,"Mining of natural borates, natural magnesium sulphates (kieserite)"
B07296,"Mining of earth colours, fluorspar and other minerals valued chiefly as a source of chemicals"
B07297,Guano mining
B07298,Peat digging
B08916,Peat agglomeration
B08918,Preparation of peat to improve quality or facilitate transport or storage
B08921,Extraction of salt from underground
B08922,Salt production by evaporation of sea water or other saline waters
B08923,"Crushing, purification and refining of salt by the producer"
B08931,Mining and quarrying of abrasive materials
B08932,Mining and quarrying of asbestos
B08991,Mining and quarrying of siliceous fossil meals
B08992,Mining and quarrying of natural graphite
B08994,Mining and quarrying of steatite (talc) 
B08995,Mining and quarrying of gemstones
B08996,Other mining and quarrying n.e.c.
B09101,Oil and gas extraction service activities provided on a fee or contract basis
B09102,Oil and gas field fire fighting services
B09900,Support activities for other mining and quarrying
C27900,Processing and preserving of meat and production of meat products
C28110,Processing and preserving of poultry and poultry products
C28120,Production of hides and skins originating from slaughterhouses
C28130,"Operation of slaughterhouses engaged in killing, houses dressing or packing meat"
C28140,Processing and preserving of meat n.e.c.
C28150,"Canning of fish, crustaceans and mollusks"
C28160,"Processing, curing and preserving of fish, crustacean and mollusks"
C28170,Production of fish meals for human consumption or animal feed
C28180,Production of keropok including keropok lekor
C28191,Processing of seaweed
C28192,Manufacture of fruits and vegetables food products
C28199,Manufacture of fruit and vegetables juices
C28210,Manufacture of pineapple canning 
C28220,"Manufacture of jams, marmalades and table jellies "
C28230,Manufacture of nuts and nut products
C28240,Manufacture of bean curd products
C28250,Manufacture of crude palm oil
C28260,Manufacture of refined palm oils
C28290,Manufacture of palm kernel oils
C29101,Manufacture of crude and refined vegetable oil
C29102,Manufacture of coconut oil
C29200,Manufacture of compound cooking fats
C29300,Manufacture of animal oils and fats
C30110,Manufacture of ice cream and other edible ice such as sorbet 
C30120,"Manufacture of condensed, powdered and evaporated milk"
C30200,Manufacture of other dairy products n.e.c.
C30300,Rice milling
C30400,Provision of milling services
C30910,Flour milling
C30920,Manufacture of grain mill products n.e.c.
C30990,Manufacture of starches and starch products
C31001,"Manufacture of glucose, glucose syrup, maltose, inulin"
C31002,Manufacture of sago and tapioca flour/products
C31003,Manufacture of biscuits and cookies
C31009,"Manufacture of bread, cakes and other bakery products"
C32110,Manufacture of snack products
C32120,Manufacture of frozen bakery products
C32200,Manufacture of sugar
C32300,Manufacture of sugar products
C10742,Manufacture of cocoa products
C10750,Manufacture of chocolate and chocolate products
C10791,Manufacture of sugar confectionery
C10792,"Manufacture of meehoon, noodles and other related products"
C10793,Manufacture of pastas
C10794,Manufacture of prepared meals and dishes
C10795,Manufacture of coffee
C10799,Manufacture of tea
C10800,Manufacture of sauces and condiments
C11010,Manufacture of spices and curry powder
C11020,Manufacture of egg products
C11030,Manufacture of other food products n.e.c.
C11041,Manufacture of prepared animal feeds
C11042,"Distilling, rectifying and blending of spirits"
C12000,Manufacture of wines
C13110,Manufacture of malt liquors and malt
C13120,Manufacture of soft drinks
C13131,Production of natural mineral waters and other bottled waters 
C13132,Manufacture of tobacco products 
C13139,Preparation and spinning of textile fibres
C13910,Weaving of textiles
C13921,Batik making
C13922,"Dyeing, bleaching, printing and finishing of yarns and fabrics"
C13930,Other finishing textile
C13940,Manufacture of knitted and crocheted fabrics
C16221,"Manufacture of made-up articles of any textile materials, including of knitted or crocheted fabrics"
C16222,Manufacture of made-up furnishing articles
C16230,Manufacture of carpets and rugs
C16291,"Manufacture of cordage, rope, twine and netting "
C16292,Manufacture of other textiles n.e.c.
C17010,Manufacture of specific wearing apparel
C17020,Manufacture of clothings
C17091,Custom tailoring 
C17093,Manufacture of other clothing accessories
C17094,Manufacture of articles made of fur skins
C17099,Manufacture of knitted and crocheted apparel
C18110,Tanning and dressing of leather; dressing and dyeing of fur
C18120,"Manufacture of luggage, handbags and the like, saddlery and harness"
C18200,Manufacture of leather footwear
C19100,Manufacture of plastic footwear
C19201,Manufacture of rubber footwear
C19202,Manufacture of other footwear n.e.c.
C20111,Sawmilling and planning of wood
C20112,Manufacture of veneer sheets and plywood
C20113,Manufacture of particle board and fibreboard 
C20119,Manufacture of builders' carpentry
C20121,Manufacture of joinery wood products
C20129,Manufacture of wooden containers
C24312,Manufacture of wood charcoal
C24320,"Manufacture of other products of wood, cane, articles of cork, straw and plaiting materials"
C25111,"Manufacture of pulp, paper and paperboard"
C25112,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard
C25113,Manufacture of envelopes and letter-card
C25119,Manufacture of household and personal hygiene paper
C25120,Manufacture of gummed or adhesive paper in strips or rolls and labels and wall paper
C25200,"Manufacture of effigies, funeral paper goods, joss papers  "
C25910,Manufacture of other articles of paper and paperboard n.e.c. 
C25920,Printing
C25930,Service activities related to printing
C25991,Reproduction of recorded media
C25993,Manufacture of coke oven products
C25994,Manufacture of refined petroleum products
C25999,Manufacture of bio-diesel products
C26101,Manufacture of liquefied or compressed inorganic industrial or medical gases
C26102,Manufacture of basic organic chemicals
C26103,Manufacture of inorganic compounds
C26105,Manufacture of other basic chemicals n.e.c.
C26109,Manufacture of fertilizers
C26201,Manufacture of associated nitrogen products
C26202,Manufacture of plastic in primary forms
C26300,"Manufacture of synthetic rubber in primary forms: synthetic rubber, factice"
C26400,Manufacture of mixtures of synthetic rubber and natural rubber or rubber - like gums
C26511,Manufacture of pesticides and other agrochemical products
C26512,"Manufacture of paints, varnishes and similar coatings ink and mastics"
C26520,Manufacture of printing ink
C26600,"Manufacture of soap and detergents, cleaning and polishing preparations"
C26701,Manufacture of perfumes and toilet preparations
C26702,"Manufacture of photographic plates, films, sensitized paper and other sensitized unexposed materials"
C26800,Manufacture of writing and drawing ink
C27101,Manufacture of other chemical products n.e.c.
C27102,Manufacture of man-made fibres
C27200,Manufacture of medicinal active substances to be used for their pharmacological properties in the manufacture of medicaments
C27310,Processing of blood
C27320,Manufacture of medicaments
C27330,Manufacture of chemical contraceptive products
C27400,Manufacture of medical diagnostic preparation
C26104,Manufacture of radioactive in-vivo diagnostic substances
C27500,Manufacture of biotech pharmaceuticals
C20131,"Manufacture of other pharmaceuticals, medicinal chemical and botanical products n.e.c."
C20132,Manufacture of rubber tyres for vehicles
C20133,Manufacture of interchangeable tyre treads and retreading rubber tyres
C20210,"Manufacture of other products of natural or synthetic rubber, unvulcanized, vulcanized or hardened"
C20221,Manufacture of rubber gloves
C20231,Rubber remilling and latex processing
C20232,Manufacture of other rubber products n.e.c
C20292,Manufacture of semi-manufactures of plastic products
C20299,Manufacture of finished plastic products
C20300,Manufacture of plastic articles for the packing of goods
C21001,Manufacture of builders' plastics ware
C21003,"Manufacture of plastic tableware, kitchenware and toilet articles"
C21004,Manufacture of diverse plastic products n.e.c.
C21006,"Manufacture of flat glass, including wired, coloured or tinted flat glass"
C21007,"Manufacture of laboratory, hygienic or pharmaceutical glassware "
C22111,Manufacture of other glass products n.e.c.
C22112,Manufacture of refractory mortars and concretes
C22191,Manufacture of refractory ceramic goods
C22192,Manufacture of non-refractory ceramic
C22193,Manufacture of other clay building materials
C22199,Manufacture of other porcelain and ceramic products
C22201,Manufacture of hydraulic cement
C22202,Manufacture of lime and plaster
C22203,Manufacture of ready-mix and dry-mix concrete and mortars
C22204,"Manufacture of precast concrete, cement or artificial stone articles for use in construction"
C22205,"Manufacture of prefabricated structural components for building or civil engineering of cement, concrete or artificial stone"
C22209,"Manufacture of other articles of concrete, cement and plaster n.e.c."
C23101,"Cutting, shaping and finishing of stone"
C23102,Manufacture of other non-metallic mineral products n.e.c.
C21009,"Production of pig iron and spiegeleisen in pigs, blocks or other primary forms"
C23911,Production of bars and rods of stainless steel or other alloy steel
C23912,"Manufacture of seamless tubes, by hot rolling, hot extrusion or hot drawing, or by cold drawing or cold rolling"
C23921,Manufacture of steel tube fittings
C23929,Manufacture of other basic iron and steel products n.e.c.
C23941,Tin smelting
C23942,Production of aluminium from alumina
C23951,Manufacture of other basic precious and other non-ferrous metals n.e.c.
C23952,Casting of iron
C23953,Casting of steel
C23959,Casting of non-ferrous metals
C23960,Manufacture of industrial frameworks in metal
C23990,Manufacture of prefabricated buildings mainly of metal
C24101,"Manufacture of metal doors, windows and their frames, shutters and gates"
C24102,Manufacture of other structural metal products
C24103,"Manufacture of tanks, reservoirs and containers of metal"
C24104,"Manufacture of steam generators, except central heating hot water boilers"
C24109,Manufacture of weapons and ammunition
C24201,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
C24202,Treatment and coating of metals; machining
C24209,"Manufacture of cutlery, hand tools and general hardware"
C24311,"Manufacture of tins and cans for food products, collapsible tubes and boxes"
C32400,"Manufacture of metal cable, plaited bands and similar articles"
C32500,"Manufacture of bolts, screws, nuts and similar threaded products"
C32901,Manufacture of metal household articles 
C32909,Manufacture of any other fabricated metal products n.e.c.
C33110,"Manufacture of diodes, transistors and similar semiconductor devices"
C33120,Manufacture electronic integrated circuits micro assemblies
C33131,Manufacture of electrical capacitors and resistors
C33132,Manufacture of printed circuit boards
C33133,Manufacture of display components
C33140,Manufacture of other components for electronic applications
C33150,Manufacture of computers
C33190,Manufacture of peripheral equipment
C33200,Manufacture of communication equipment
C13990,Manufacture of consumer electronics
C14101,"Manufacture of measuring, testing, navigating and control equipment"
C14102,Manufacture of industrial process control equipment manufacturing
C14103,Manufacture of watches and clocks and parts
C14109,"Manufacture of irradiation, electro medical and electrotherapeutic equipment"
C14200,Manufacture of optical instruments and equipment
C14300,Manufacture of photographic equipment
C15110,Manufacture of magnetic and optical recording media
C15120,"Manufacture of electric motors, generators and transformers"
C15201,Manufacture of electricity distribution and control apparatus
C15202,Manufacture of batteries and accumulators
C15203,Manufacture of fibre optic cables
