MSIC_5D,DESCRIPTION
C10792,"Pembuatan bihun, mi dan produk lain yang berkaitan"
C10793,Pembuatan pasta
C10794,Pembuatan makanan dan hidangan tersedia
C10795,Pembuatan kopi
C10799,Pembuatan teh
C10800,Pembuatan sos dan bahan perasa
C11010,Pembuatan rempah ratus dan serbuk kari
C11020,Pembuatan produk berasaskan telur
C11030,Pembuatan produk makanan lain t.t.t.l
C11041,Pembuatan makanan haiwan tersedia
C11042,"Penyulingan, pembersihan dan pencampuran spirit"
C12000,Pembuatan wain
C13110,Pembuatan minuman keras malt dan malt
C13120,Pembuatan minuman ringan
C13131,Pengeluaran air mineral semulajadi dan minuman lain yang dibotolkan
C13132,Pembuatan produk tembakau
C13139,Penyediaan dan pemintalan gentian tekstil
C13910,Penenunan tekstil
C13921,Membuat batik
C13922,"Pewarnaan, pelunturan, percetakan dan penyiapan akhir benang dan fabrik"
C13930,Penyiapan akhir tekstil lain
C13940,Pembuatan fabrik dikait dan dikrusye 
C16221,"Pembuatan artikel tersedia bagi bahan tekstil seumpamanya, termasuk fabrik dikait atau dikrusye"
C16222,Pembuatan artikel perhiasan tersedia
C16230,Pembuatan permaidani dan hamparan
C16291,"Pembuatan bagi tali-temali, tali, tali pintal dan jaring"
C16292,Pembuatan tekstil lain t.t.t.l.
C17010,Pembuatan pakaian spesifik
C17020,Pembuatan pakaian
C17091,Jahitan pakaian tempahan 
C17093,Pembuatan aksesori pakaian lain
C17094,Pembuatan artikel daripada kulit bulu
C17099,Pembuatan pakaian yang dikait dan dikrusye 
C18110,Penyamakan dan pembersihan kulit; pembersihan dan pewarnaan bulu
C18120,"Pembuatan bagasi, beg tangan dan seumpamanya, pelana dan abah-abah"
C18200,Pembuatan kasut kulit
C19100,Pembuatan kasut plastik
C19201,Pembuatan kasut getah
C19202,Pembuatan kasut lain t.t.t.l
C20111,Pengilangan dan pengetaman kayu
C20112,Pembuatan kepingan venier dan papan lapis
C20113,Pembuatan papan partikel dan papan gentian 
C20119,Pertukangan kayu untuk jurubina
C20121,Pembuatan produk tanggam kayu
C20129,Pembuatan bekas kayu
C24312,Pembuatan kayu arang
C24320,"Pembuatan produk kayu lain; rotan, artikel gabus, jerami dan bahan jalinan"
C25111,"Pembuatan pulpa, kertas dan kertas tebal"
C25112,Pembuatan kertas gelugur dan kertas tebal dan bekas daripada kertas dan kertas tebal
C25113,Pembuatan sampul surat dan kad surat
C25119,Pembuatan kertas kegunaan rumah dan pembersih peribadi
C25120,Pembuatan kertas bergam atau pelekat yang berjalur atau bergulung dan label dan kertas dinding 
C25200,"Pembuatan patung, barangan kertas upacara pengebumian, kertas colok"
C25910,Pembuatan barang kertas dan kertas tebal lain yang t.t.t.l.
C25920,Percetakan
C25930,Aktiviti perkhidmatan berkaitan percetakan
C25991,Penerbitan semula media rakaman
C25993,Pembuatan produk ketuhar kok
C25994,Pembuatan produk petroleum bertapis
C25999,Pembuatan produk bio-diesel
C26101,Pembuatan gas perindustrian atau perubatan bukan organik dalam bentuk cecair atau mampat 
C26102,Pembuatan kimia organik asas
C26103,Pembuatan sebatian bukan organik
C26105,Pembuatan kimia asas lain t.t.t.l
C26109,Pembuatan baja
C26201,Pembuatan produk campuran nitrogen
C26202,"Pembuatan getah sintetik dalam bentuk primer: getah sintetik, tiruan"
C26300,Pembuatan campuran getah sintetik dan getah asli atau getah–seperti perekat
C26400,Pembuatan campuran getah sintetik dan getah asli atau getah–seperti perekat
C26511,Pembuatan racun perosak dan produk agrokimia lain
C26512,"Pembuatan cat, varnis dan penyadur dan mastik"
C26520,Pembuatan dakwat cetak
C26600,"Pembuatan sabun dan bahan pencuci, penyediaan membersih dan mengilat"
C26701,Pembuatan pewangi dan penyediaan dandanan diri
C26702,"Pembuatan plat fotografi, filem, sensitized paper dan other sensitized unexposed materials "
C26800,Pembuatan dakwat menulis dan melukis
C27101,Pembuatan produk kimia lain t.t.t.l
C27102,Pembuatan serat buatan manusia
C27200,Pembuatan bahan aktif ubat-ubatan untuk digunakan oleh bidang farmakologi dalam pembuatan ubat-ubatan
C27310,Pemprosesan darah
C27320,Pembuatan ubat-ubatan
C27330,Pembuatan produk kimia bagi pencegah kehamilan
C27400,Pembuatan penyediaan diagnosis perubatan
C26104,Pembuatan bahan diagnosis in-vivo radioaktif
C27500,Pembuatan farmaseutikal bioteknologi
C20131,"Pembuatan produk farmaseutikal, kimia perubatan dan botani t.t.t.l"
C20132,Pembuatan tayar getah untuk kenderaan
C20133,Pembuatan bunga tayar yang boleh ditukar ganti dan tayar celup
C20210,"Pembuatan produk lain daripada getah asli atau sintetik, tidak divulkan, divulkan atau dikeraskan"
C20221,Pembuatan sarung tangan getah
C20231,Pengilangan semula getah dan prosesan susu getah
C20232,Pembuatan produk getah lain yang t.t.t.l
C20292,Pembuatan produk plastik separa siap
C20299,Pembuatan produk plastik siap
C20300,Pembuatan artikel plastik untuk pembungkusan barangan
C21001,Pembuatan barangan plastik jurubina
C21003,"Pembuatan pinggan mangkuk, peralatan dapur dan barangan tandas daripada plastik"
C21004,Pembuatan pelbagai produk plastik t.t.t.l
C21006,"Pembuatan kaca leper, termasuk kaca leper berdawai, berwarna atau sedikit berwarna"
C21007,"Pembuatan barangan kaca makmal, barangan kesihatan atau farmaseutikal"
C22111,Pembuatan produk kaca lain t.t.t.l
C22112,Pembuatan mortar refraktori dan konkrit 
C22191,Pembuatan barangan seramik refraktori
C22192,Pembuatan seramik bukan refraktori
C22193,Pembuatan lain-lain bahan binaan dari tanah liat
C22199,Pembuatan produk porselin dan seramik lain
C22201,Pembuatan simen hidraulik
C22202,Pembuatan kapur dan plaster
C22203,Pembuatan konkrit dan mortar siap bancuh dan bancuhan kering
C22204,"Pembuatan konkrit pratuangan, simen atau artikel batu buatan yang digunakan dalam pembinaan"
C22205,"Pembuatan komponen struktur pasang siap untuk bangunan atau kejuruteraan awam dari simen, batu atau konkrit buatan"
C22209,"Pembuatan artikel konkrit, simen dan plaster lain t.t.t.l"
C23101,"Pemotongan, pembentukan dan penyiapan batu"
C23102,Pembuatan produk mineral bukan logam lain t.t.t.l.
C21009,"Pengeluaran jongkong besi dan spiegeleisen dalam bentuk jongkong, blok atau dalam bentuk asal lain"
C23911,Pembuatan batang dan rod keluli tahan karat atau keluli aloi lain
C23912,"Pembuatan tiub tidak berkelim, dengan penggelekan, picitan atau tempaan panas, atau dengan tempaan atau penggelekan sejuk"
C23921,Pembuatan kelengkapan tiub keluli
C23929,Pembuatan produk besi asas dan keluli lain t.t.t.l
C23941,Peleburan timah
C23942,Pengeluaran aluminium daripada alumina
C23951,Pembuatan logam asas berharga dan logam bukan ferus lain t.t.t.l
C23952,Pengacuan besi
C23953,Pengacuan keluli
C23959,Pengacuan logam bukan ferus
C23960,Pembuatan kerangka kerja perindustrian daripada logam
C23990,Pembuatan bangunan pasang siap terutamanya daripada logam
C24101,"Pembuatan pintu, tingkap dan bingkai, penutup tingkap dan pintu pagar daripada logam"
C24102,Pembuatan produk struktur logam lain
C24103,"Pembuatan tangki, takungan dan kontena daripada logam"
C24104,"Pembuatan penjana wap, kecuali dandang pemanasan air berpusat("
C24109,Pembuatan senjata dan peluru
C24201,"Tempaan, tekanan, hentakan dan bentuk gelekan logam; serbuk metalurgi"
C24202,Rawatan dan penyalutan logam; menggunakan mesin
C24209,"Pembuatan kutleri, alatan pertukangan tangan dan perkakasan am"
C24311,"Pembuatan tin  untuk produk makanan dan minuman, tiub dan kotak boleh dilipat"
C32400,"Pembuatan kabel, plaited bands (jalur/pita berpintal) dan artikel seumpamanya daripada logam"
C32500,"Pembuatan bolt, skru, nat dan produk uliran seumpamanya"
C32901,Pembuatan barangan rumah daripada logam
C32909,Pembuatan produk lain yang direka daripada logam t.t.t.l
C33110,"Pembuatan diod, transistor dan alatan semikonduktor yang seumpamanya"
C33120,Pembuatan litar elektronik bersepadu dengan pemasangan mikro
C33131,Pembuatan kapasitor dan perintang elektrik
C33132,Pembuatan papan litar bercetak
C33133,Pembuatan komponen paparan
C33140,Pembuatan komponen lain untuk aplikasi elektronik
C33150,Pembuatan komputer
C33190,Pembuatan kelengkapan peranti
C33200,Pembuatan peralatan komunikasi
C13990,Pembuatan elektronik pengguna
C14101,"Pembuatan kelengkapan mengukur, menguji, memandu arah dan kawalan"
